id,audio_id,text
3575-170457-0005,../datasets/librispeech/clean/raw/016.wav,SHE A TORY AND CLERGYMAN'S DAUGHTER WAS ALWAYS IN A MINORITY OF ONE IN OUR HOUSE OF VIOLENT DISSENT AND RADICALISM
908-157963-0000,../datasets/librispeech/clean/raw/017.wav,TO FADE AWAY LIKE MORNING BEAUTY FROM HER MORTAL DAY DOWN BY THE RIVER OF ADONA HER SOFT VOICE IS HEARD AND THUS HER GENTLE LAMENTATION FALLS LIKE MORNING DEW
5142-33396-0039,../datasets/librispeech/clean/raw/018.wav,I NAMED NINE OTHERS AND SAID
672-122797-0004,../datasets/librispeech/clean/raw/019.wav,IN WINTER WHEN THE SNOW LAY GLITTERING ON THE GROUND A HARE WOULD OFTEN COME LEAPING ALONG AND JUMP RIGHT OVER THE LITTLE TREE
4970-29095-0000,../datasets/librispeech/clean/raw/020.wav,SHE WAS TIRED OF OTHER THINGS
7729-102255-0027,../datasets/librispeech/clean/raw/021.wav,FOOTNOTE SUMNER TO SHANNON MAY TWELFTH EIGHTEEN FIFTY SIX
260-123440-0000,../datasets/librispeech/clean/raw/022.wav,AND HOW ODD THE DIRECTIONS WILL LOOK
7176-92135-0018,../datasets/librispeech/clean/raw/023.wav,IN THE MODERN WELL CONSTRUCTED PLAY HE SIMPLY RINGS UP AN IMAGINARY CONFEDERATE AND TELLS HIM WHAT HE IS GOING TO DO COULD ANYTHING BE MORE NATURAL
4507-16021-0005,../datasets/librispeech/clean/raw/024.wav,WE HAVE NEVER UNDERSTOOD THIS SORT OF OBJECTIONS
6829-68769-0040,../datasets/librispeech/clean/raw/025.wav,SOME GIRL HAS BEEN HERE TWICE TO INTERVIEW MY MEN AND I HAVE REFUSED TO ADMIT HER
7176-92135-0004,../datasets/librispeech/clean/raw/026.wav,FRANKLY I CANNOT ALWAYS SAY
2300-131720-0008,../datasets/librispeech/clean/raw/027.wav,EVERYTHING HE HAS DONE HAS BEEN AIMED AT THE CONSERVATION OF ENERGY THE CONTRACTION OF SPACE THE INTENSIFICATION OF CULTURE
61-70970-0002,../datasets/librispeech/clean/raw/028.wav,MOST OF ALL ROBIN THOUGHT OF HIS FATHER WHAT WOULD HE COUNSEL
7021-79759-0005,../datasets/librispeech/clean/raw/029.wav,THE PAIN PRODUCED BY AN ACT OF HASTY AND ANGRY VIOLENCE TO WHICH A FATHER SUBJECTS HIS SON MAY SOON PASS AWAY BUT THE MEMORY OF IT DOES NOT PASS AWAY WITH THE PAIN
5142-33396-0002,../datasets/librispeech/clean/raw/030.wav,TWO HUNDRED WARRIORS FEASTED IN HIS HALL AND FOLLOWED HIM TO BATTLE
8455-210777-0049,../datasets/librispeech/clean/raw/031.wav,LIEUTENANT CROSSTREES IS A VERY GALLANT OFFICER
3729-6852-0039,../datasets/librispeech/clean/raw/032.wav,HE HIMSELF RECITED THE SAME PASSAGE IN FRENCH AND POLITELY POINTED OUT THE PARTS IN WHICH HE THOUGHT THAT I HAD IMPROVED ON THE ORIGINAL
6930-76324-0012,../datasets/librispeech/clean/raw/033.wav,WE'LL COME IN HERE THIS AFTERNOON WITH OLD CLOTHES ON AND HAVE A REGULAR HOUSE CLEANING
5639-40744-0025,../datasets/librispeech/clean/raw/034.wav,THE BED SHE TOO WELL REMEMBERED WAS THERE AND ABOVE ALL THE CABINET ON WHICH HAD STOOD THE IMAGE SHE HAD TAKEN AWAY WAS STILL ON THE SAME SPOT
1580-141084-0011,../datasets/librispeech/clean/raw/035.wav,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS
2094-142345-0000,../datasets/librispeech/clean/raw/036.wav,IT IS A VERY FINE OLD PLACE OF RED BRICK SOFTENED BY A PALE POWDERY LICHEN WHICH HAS DISPERSED ITSELF WITH HAPPY IRREGULARITY SO AS TO BRING THE RED BRICK INTO TERMS OF FRIENDLY COMPANIONSHIP WITH THE LIMESTONE ORNAMENTS SURROUNDING THE THREE GABLES THE WINDOWS AND THE DOOR PLACE
4992-41797-0000,../datasets/librispeech/clean/raw/037.wav,YES DEAD THESE FOUR YEARS AN A GOOD JOB FOR HER TOO
5683-32865-0004,../datasets/librispeech/clean/raw/038.wav,WHATEVER LORD CHELFORD SAID MISS BRANDON RECEIVED IT VERY GRACIOUSLY AND EVEN WITH A MOMENTARY SMILE
6829-68769-0022,../datasets/librispeech/clean/raw/039.wav,WE HAVE HEARD SOMETHING OF YOUR STORY SAID KENNETH AND ARE INTERESTED IN IT
7127-75947-0000,../datasets/librispeech/clean/raw/040.wav,EVERY ONE COULD OBSERVE HIS AGITATION AND PROSTRATION A PROSTRATION WHICH WAS INDEED THE MORE REMARKABLE SINCE PEOPLE WERE NOT ACCUSTOMED TO SEE HIM WITH HIS ARMS HANGING LISTLESSLY BY HIS SIDE HIS HEAD BEWILDERED AND HIS EYES WITH ALL THEIR BRIGHT INTELLIGENCE BEDIMMED
672-122797-0000,../datasets/librispeech/clean/raw/041.wav,OUT IN THE WOODS STOOD A NICE LITTLE FIR TREE
1580-141083-0053,../datasets/librispeech/clean/raw/042.wav,YOU HAVEN'T SEEN ANY OF THEM NO SIR
2300-131720-0013,../datasets/librispeech/clean/raw/043.wav,UNLESS HE COULD SECURE AN ENGINE OF SMOOTHER RUNNING AND MORE EXACTLY GOVERNED AND REGULATED THAN THOSE AVAILABLE FOR HIS DYNAMO AND LAMP EDISON REALIZED THAT HE WOULD FIND IT ALMOST IMPOSSIBLE TO GIVE A STEADY LIGHT
260-123286-0001,../datasets/librispeech/clean/raw/044.wav,THE HORIZON SEEMS EXTREMELY DISTANT
2830-3980-0022,../datasets/librispeech/clean/raw/045.wav,THE CLAUSE SEEMS SUPERFLUOUS ON FIRST SIGHT
5105-28241-0005,../datasets/librispeech/clean/raw/046.wav,FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH
260-123286-0009,../datasets/librispeech/clean/raw/047.wav,I TAKE THIS AS MY ANSWER AND I LEAVE THE PROFESSOR TO BITE HIS LIPS WITH IMPATIENCE
121-127105-0036,../datasets/librispeech/clean/raw/048.wav,BUT WAS THAT ALL HER REWARD ONE OF THE LADIES ASKED
5142-33396-0034,../datasets/librispeech/clean/raw/049.wav,THEN I DRANK HALF OF THE HORNFUL AND SENT THE REST ACROSS THE FIRE TO THE FARMER HE TOOK IT AND SMILED SAYING
237-134500-0026,../datasets/librispeech/clean/raw/050.wav,SURELY YOU ARE NOT THINKING OF GOING OFF THERE
4446-2275-0021,../datasets/librispeech/clean/raw/051.wav,HILDA'S FACE QUIVERED BUT SHE WHISPERED YES I THINK IT MUST HAVE BEEN
6829-68771-0001,../datasets/librispeech/clean/raw/052.wav,ONE OF MISTER HOPKINS'S FIRST TASKS AFTER CALLING HIS FAITHFUL HENCHMEN AROUND HIM WAS TO MAKE A CAREFUL CANVASS OF THE VOTERS OF HIS DISTRICT TO SEE WHAT WAS STILL TO BE ACCOMPLISHED
8463-287645-0004,../datasets/librispeech/clean/raw/053.wav,JOHN WESLEY COMBASH JACOB TAYLOR AND THOMAS EDWARD SKINNER
61-70968-0030,../datasets/librispeech/clean/raw/054.wav,NOW BE SILENT ON YOUR LIVES HE BEGAN BUT THE CAPTURED APPRENTICE SET UP AN INSTANT SHOUT
908-157963-0005,../datasets/librispeech/clean/raw/055.wav,LIKE THE DOVES VOICE LIKE TRANSIENT DAY LIKE MUSIC IN THE AIR AH
1580-141084-0010,../datasets/librispeech/clean/raw/056.wav,I WILL TAKE THE BLACK CLAY WITH ME ALSO THE PENCIL CUTTINGS GOOD BYE
4992-41806-0012,../datasets/librispeech/clean/raw/057.wav,AT THAT MOMENT THE GENTLEMAN ENTERED BEARING A HUGE OBJECT CONCEALED BY A PIECE OF GREEN FELT
5683-32866-0019,../datasets/librispeech/clean/raw/058.wav,THE MYSTERY OF THEIR ORIGIN THEIR CAPACITY FOR EVOLVING LATENT FACULTIES OF CRIME AND THE STEADY VITALITY WITH WHICH THEY SURVIVE THE HEARSE AND SPEAK THEIR DEEP MOUTHED MALIGNITIES IN EVERY NEW BORN GENERATION HAVE ASSOCIATED THEM SOMEHOW IN MY MIND WITH A SPELL OF LIFE EXCEEDING AND DISTINCT FROM HUMAN AND A SPECIAL SATANIC ACTION
2961-961-0016,../datasets/librispeech/clean/raw/059.wav,I WILL BRIEFLY DESCRIBE THEM TO YOU AND YOU SHALL READ THE ACCOUNT OF THEM AT YOUR LEISURE IN THE SACRED REGISTERS
1284-134647-0006,../datasets/librispeech/clean/raw/060.wav,BISHOPS VIRGINS AND EVEN SPOTLESS INFANTS WERE SUBJECTED TO THE DISGRACE OF A PUBLIC PENANCE BEFORE THEY COULD BE ADMITTED TO THE COMMUNION OF THE DONATISTS
8224-274381-0015,../datasets/librispeech/clean/raw/061.wav,THOUGH THE DISCIPLINE OF THE FORMER PARLIAMENTARY ARMY WAS NOT CONTEMPTIBLE A MORE EXACT PLAN WAS INTRODUCED AND RIGOROUSLY EXECUTED BY THESE NEW COMMANDERS
4970-29093-0018,../datasets/librispeech/clean/raw/062.wav,THE TWO YOUNG MEN WHO WERE BY THIS TIME FULL OF THE ADVENTURE WENT DOWN TO THE WALL STREET OFFICE OF HENRY'S UNCLE AND HAD A TALK WITH THAT WILY OPERATOR
1995-1836-0004,../datasets/librispeech/clean/raw/063.wav,AS SHE AWAITED HER GUESTS SHE SURVEYED THE TABLE WITH BOTH SATISFACTION AND DISQUIETUDE FOR HER SOCIAL FUNCTIONS WERE FEW TONIGHT THERE WERE SHE CHECKED THEM OFF ON HER FINGERS SIR JAMES CREIGHTON THE RICH ENGLISH MANUFACTURER AND LADY CREIGHTON MISTER AND MISSUS VANDERPOOL MISTER HARRY CRESSWELL AND HIS SISTER JOHN TAYLOR AND HIS SISTER AND MISTER CHARLES SMITH WHOM THE EVENING PAPERS MENTIONED AS LIKELY TO BE UNITED STATES SENATOR FROM NEW JERSEY A SELECTION OF GUESTS THAT HAD BEEN DETERMINED UNKNOWN TO THE HOSTESS BY THE MEETING OF COTTON INTERESTS EARLIER IN THE DAY
1089-134686-0026,../datasets/librispeech/clean/raw/064.wav,THE RECTOR DID NOT ASK FOR A CATECHISM TO HEAR THE LESSON FROM
2094-142345-0005,../datasets/librispeech/clean/raw/065.wav,SEVERAL CLOTHES HORSES A PILLION A SPINNING WHEEL AND AN OLD BOX WIDE OPEN AND STUFFED FULL OF COLOURED RAGS
8455-210777-0000,../datasets/librispeech/clean/raw/066.wav,I REMAINED THERE ALONE FOR MANY HOURS BUT I MUST ACKNOWLEDGE THAT BEFORE I LEFT THE CHAMBERS I HAD GRADUALLY BROUGHT MYSELF TO LOOK AT THE MATTER IN ANOTHER LIGHT
4507-16021-0000,../datasets/librispeech/clean/raw/067.wav,CHAPTER ONE ORIGIN
121-127105-0030,../datasets/librispeech/clean/raw/068.wav,I DON'T ANTICIPATE
1221-135767-0024,../datasets/librispeech/clean/raw/069.wav,PEARL SEEING THE ROSE BUSHES BEGAN TO CRY FOR A RED ROSE AND WOULD NOT BE PACIFIED
908-157963-0030,../datasets/librispeech/clean/raw/070.wav,WHY AN EAR A WHIRLPOOL FIERCE TO DRAW CREATIONS IN
7176-88083-0017,../datasets/librispeech/clean/raw/071.wav,BUT AT THIS POINT IN THE RAPIDS IT WAS IMPOSSIBLE FOR HIM TO STAY DOWN
1284-1181-0000,../datasets/librispeech/clean/raw/072.wav,OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER
7127-75947-0022,../datasets/librispeech/clean/raw/073.wav,I AM A WOMAN AND THERE ARE FEW LIKE ME WHOEVER LOVES ME FLATTERS ME WHOEVER FLATTERS ME PLEASES ME AND WHOEVER PLEASES WELL SAID MONTALAIS YOU DO NOT FINISH
4077-13751-0016,../datasets/librispeech/clean/raw/074.wav,BE IT SAID TO THE HONOR OF SOME OF THE OFFICERS ENTRUSTED WITH THE TERRIBLE COMMISSION THAT WHEN THEY LEARNED ITS TRUE SIGNIFICANCE THEY RESIGNED THEIR AUTHORITY RATHER THAN HAVE ANYTHING TO DO WITH WHAT THEY DESIGNATED A COLD BLOODED BUTCHERY
1284-134647-0002,../datasets/librispeech/clean/raw/075.wav,BUT THIS INESTIMABLE PRIVILEGE WAS SOON VIOLATED WITH THE KNOWLEDGE OF TRUTH THE EMPEROR IMBIBED THE MAXIMS OF PERSECUTION AND THE SECTS WHICH DISSENTED FROM THE CATHOLIC CHURCH WERE AFFLICTED AND OPPRESSED BY THE TRIUMPH OF CHRISTIANITY
3575-170457-0000,../datasets/librispeech/clean/raw/076.wav,AND OFTEN HAS MY MOTHER SAID WHILE ON HER LAP I LAID MY HEAD SHE FEARED FOR TIME I WAS NOT MADE BUT FOR ETERNITY
672-122797-0063,../datasets/librispeech/clean/raw/077.wav,THEN GOOD BYE SAID THE RATS AND THEY WENT HOME
2300-131720-0025,../datasets/librispeech/clean/raw/078.wav,THEY WERE LATER USED AS RESERVE MACHINES AND FINALLY WITH THE ENGINE RETIRED FROM SERVICE AS PART OF THE COLLECTION OF EDISONIA BUT THEY REMAIN IN PRACTICALLY AS GOOD CONDITION AS WHEN INSTALLED IN EIGHTEEN EIGHTY THREE
8555-284449-0009,../datasets/librispeech/clean/raw/079.wav,YOU ARE MATE REPLIED THE SAILOR
4992-41806-0006,../datasets/librispeech/clean/raw/080.wav,RALPH THURSTON HAD FOUND A LINE OF LATIN FOR THEM IN HIS BELOVED HORACE TIBI SPLENDET FOCUS FOR YOU THE HEARTH FIRE SHINES
3729-6852-0027,../datasets/librispeech/clean/raw/081.wav,THAT IS TRUE BADAUDERIE
5683-32865-0010,../datasets/librispeech/clean/raw/082.wav,I WAS THINKING IT'S VERY LIKE THE ACE OF HEARTS ANSWERED THE CAPTAIN SOFTLY SMILING ON
6930-75918-0000,../datasets/librispeech/clean/raw/083.wav,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS
4446-2271-0010,../datasets/librispeech/clean/raw/084.wav,HE'S ANOTHER WHO'S AWFULLY KEEN ABOUT HER LET ME INTRODUCE YOU
1089-134691-0000,../datasets/librispeech/clean/raw/085.wav,HE COULD WAIT NO LONGER
2830-3980-0070,../datasets/librispeech/clean/raw/086.wav,BUT WE ARE CARELESS WE MAKE LIGHT OF SIN
4446-2271-0004,../datasets/librispeech/clean/raw/087.wav,DO YOU KNOW ALEXANDER MAINHALL LOOKED WITH PERPLEXITY UP INTO THE TOP OF THE HANSOM AND RUBBED HIS PINK CHEEK WITH HIS GLOVED FINGER DO YOU KNOW I SOMETIMES THINK OF TAKING TO CRITICISM SERIOUSLY MYSELF
237-134500-0000,../datasets/librispeech/clean/raw/088.wav,FRANK READ ENGLISH SLOWLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRIER HE GREW
3729-6852-0043,../datasets/librispeech/clean/raw/089.wav,I RESIDE IN THE MARAIS RUE DE DOUZE PORTES
1188-133604-0025,../datasets/librispeech/clean/raw/090.wav,YOU KNOW I HAVE JUST BEEN TELLING YOU HOW THIS SCHOOL OF MATERIALISM AND CLAY INVOLVED ITSELF AT LAST IN CLOUD AND FIRE
1320-122617-0005,../datasets/librispeech/clean/raw/091.wav,THE BEAR SHOOK HIS SHAGGY SIDES AND THEN A WELL KNOWN VOICE REPLIED
3729-6852-0026,../datasets/librispeech/clean/raw/092.wav,YES BUT THE MERIDIAN OF THE PALAIS ROYAL IS THE MOST EXACT
5105-28240-0013,../datasets/librispeech/clean/raw/093.wav,NOTHING MORE THAN YOU KNOW YOURSELF
2830-3980-0055,../datasets/librispeech/clean/raw/094.wav,TO BESTOW PEACE AND GRACE LIES IN THE PROVINCE OF GOD WHO ALONE CAN CREATE THESE BLESSINGS THE ANGELS CANNOT
8555-284449-0015,../datasets/librispeech/clean/raw/095.wav,I'LL NOT BE WICKED ANY MORE SIGHED THE OLD BOOLOOROO I'LL REFORM
7021-79759-0000,../datasets/librispeech/clean/raw/096.wav,NATURE OF THE EFFECT PRODUCED BY EARLY IMPRESSIONS
5142-33396-0019,../datasets/librispeech/clean/raw/097.wav,OH IT IS BETTER TO LIVE ON THE SEA AND LET OTHER MEN RAISE YOUR CROPS AND COOK YOUR MEALS
8230-279154-0037,../datasets/librispeech/clean/raw/098.wav,RECOGNITION IN THIS SENSE DOES NOT NECESSARILY INVOLVE MORE THAN A HABIT OF ASSOCIATION THE KIND OF OBJECT WE ARE SEEING AT THE MOMENT IS ASSOCIATED WITH THE WORD CAT OR WITH AN AUDITORY IMAGE OF PURRING OR WHATEVER OTHER CHARACTERISTIC WE MAY HAPPEN TO RECOGNIZE IN THE CAT OF THE MOMENT
1089-134686-0032,../datasets/librispeech/clean/raw/099.wav,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES
